LUAD	FDR_LUAD	LUSC	FDR_LUSC
LOC727896	1.50E-05	CXorf49B	8.76E-07
TOP1	1.50E-05	CNOT2	8.80E-07
CNIH2	1.51E-05	LOC646999	8.85E-07
AGXT	1.51E-05	LOC728606	8.88E-07
TTC9B	1.51E-05	MYB	8.89E-07
PSMC3	1.51E-05	ZNF716	8.95E-07
GOLT1A	1.52E-05	MAP3K2	8.96E-07
FBXL18	1.52E-05	LOC92973	8.96E-07
KIAA0895	1.52E-05	DBX2	8.96E-07
C1QTNF3	1.53E-05	RAI14	9.01E-07
PPP1R8	1.53E-05	GRSF1	9.04E-07
FAM41C	1.53E-05	LANCL2	9.05E-07
GFRA4	1.53E-05	CLDND2	9.06E-07
MAP3K12	1.54E-05	SLC7A14	9.06E-07
RPL28	1.55E-05	ZNF26	9.10E-07
ZNF750	1.55E-05	MLC1	9.12E-07
CD22	1.56E-05	NRL	9.12E-07
GDI2	1.56E-05	ERLIN1	9.13E-07
SEPN1	1.56E-05	NCOA4	9.13E-07
TBC1D29	1.57E-05	PPAP2A	9.25E-07
NACAP1	1.57E-05	RCHY1	9.25E-07
ENGASE	1.57E-05	H3F3C	9.29E-07
RCVRN	1.57E-05	APOA1	9.31E-07
PLGLB2	1.57E-05	RAB4A	9.35E-07
BAMBI	1.58E-05	GATAD2A	9.35E-07
FOXP4	1.59E-05	TPT1	9.42E-07
ACTG1	1.59E-05	RASSF9	9.42E-07
HMGB4	1.59E-05	NUDT2	9.44E-07
STRAP	1.60E-05	VIPR2	9.47E-07
ZFX	1.60E-05	WBP4	9.50E-07
CCDC85B	1.60E-05	12	9.52E-07
LOC728875	1.60E-05	H2AFY	9.53E-07
PI4K2A	1.60E-05	FAM75A3	9.53E-07
RPL36	1.61E-05	LOC84856	9.54E-07
TYW3	1.61E-05	DPEP3	9.54E-07
LOC92973	1.61E-05	SLC2A12	9.57E-07
CLDN22	1.62E-05	HLA-H	9.60E-07
FSHB	1.63E-05	NIPA1	9.61E-07
TTLL6	1.63E-05	HP	9.64E-07
SLC40A1	1.63E-05	C17orf55	9.65E-07
C5orf32	1.63E-05	DOCK5	9.77E-07
RYR2	1.63E-05	WDR49	9.80E-07
ANKRD12	1.64E-05	USP47	9.80E-07
SLURP1	1.64E-05	SCARF2	9.90E-07
RRP8	1.64E-05	XKR9	9.91E-07
SIK3	1.64E-05	SIX6	9.92E-07
HIST1H3I	1.65E-05	IGF2AS	9.92E-07
C19orf2	1.65E-05	NOMO3	9.95E-07
MCAT	1.65E-05	DNAJC12	9.95E-07
PRTG	1.65E-05	DENND2D	9.99E-07
DCTN6	1.66E-05	RPP30	9.99E-07
ORAI2	1.66E-05	ENPP7	1.00E-06
WSCD1	1.67E-05	CLEC12B	1.00E-06
CDK10	1.68E-05	H2AFB1	1.00E-06
BNIP1	1.68E-05	TFF2	1.01E-06
GTF2IRD2	1.68E-05	FAM122A	1.02E-06
CHKB-CPT1B	1.68E-05	PPT2	1.02E-06
RALY	1.69E-05	CDH22	1.02E-06
ZNF600	1.70E-05	CST11	1.03E-06
BAG2	1.70E-05	FAM53A	1.03E-06
CINP	1.70E-05	LOC284900	1.03E-06
GRK1	1.71E-05	MECR	1.03E-06
PIGG	1.71E-05	C1orf180	1.03E-06
CDH20	1.71E-05	SLC22A14	1.03E-06
ZNF738	1.72E-05	AP4M1	1.04E-06
SDC4P	1.72E-05	GNAT3	1.04E-06
TJAP1	1.73E-05	KLK2	1.05E-06
CTTNBP2	1.73E-05	FAM54B	1.05E-06
FAM38A	1.74E-05	FOXB1	1.05E-06
TXNDC2	1.74E-05	SCGB2A1	1.06E-06
IGBP1	1.75E-05	OSTCL	1.06E-06
GNAT3	1.75E-05	PSEN2	1.06E-06
PAX2	1.75E-05	C15orf40	1.06E-06
H2AFB1	1.75E-05	PRIMA1	1.07E-06
C1orf168	1.76E-05	PQBP1	1.07E-06
CHRND	1.76E-05	ACTA2	1.07E-06
STX4	1.76E-05	FLJ42709	1.07E-06
ZNF252	1.76E-05	CTSK	1.07E-06
SERPINI2	1.77E-05	OR52L1	1.07E-06
FAM46D	1.77E-05	LOC340074	1.07E-06
ADHFE1	1.77E-05	ZFHX3	1.08E-06
SLC1A2	1.79E-05	PLAC2	1.08E-06
KCNK4	1.79E-05	CA5A	1.08E-06
OPRK1	1.80E-05	CMTM4	1.08E-06
CXXC4	1.80E-05	LOC100124692	1.08E-06
RAB3D	1.80E-05	GPAA1	1.09E-06
HTATSF1	1.80E-05	OCA2	1.09E-06
IKZF5	1.82E-05	POLR2K	1.09E-06
MTHFSD	1.82E-05	SMARCD3	1.09E-06
AGRN	1.83E-05	ARMC8	1.10E-06
CFHR4	1.83E-05	TINF2	1.10E-06
ZNF567	1.84E-05	LRRC41	1.10E-06
RPA2	1.84E-05	KIAA1370	1.10E-06
CLVS2	1.86E-05	C2orf16	1.10E-06
GRPEL1	1.86E-05	CTAGE9	1.10E-06
MYCBP	1.86E-05	GNAS	1.10E-06
ABHD4	1.86E-05	PHF23	1.11E-06
C21orf96	1.87E-05	TSNAX-DISC1	1.11E-06
MUCL1	1.87E-05	CRB1	1.11E-06
MAOA	1.88E-05	SNX32	1.11E-06
GTF2H2C	1.89E-05	RPS15	1.11E-06
LPAL2	1.90E-05	SCYL3	1.12E-06
BCL11A	1.92E-05	C12orf42	1.12E-06
KIAA0196	1.93E-05	IMPDH2	1.12E-06
CLDN1	1.93E-05	ART3	1.13E-06
NMD3	1.93E-05	EIF4H	1.13E-06
TMEM63B	1.94E-05	CXorf23	1.13E-06
IL28A	1.94E-05	INHBC	1.14E-06
DOPEY1	1.95E-05	CNDP1	1.14E-06
UBE2M	1.96E-05	CNNM3	1.14E-06
KATNA1	1.96E-05	IFNGR1	1.14E-06
LILRA3	1.97E-05	TBC1D15	1.15E-06
MYLK2	1.97E-05	CEP192	1.16E-06
PYGL	1.99E-05	OCRL	1.16E-06
BECN1	1.99E-05	TMEM85	1.16E-06
GSTO1	1.99E-05	VCP	1.17E-06
RIN1	2.00E-05	FLJ22536	1.18E-06
CNIH4	2.00E-05	PATZ1	1.18E-06
NR1D1	2.00E-05	PKLR	1.18E-06
ZFAND2A	2.01E-05	ESX1	1.18E-06
TMEM131	2.01E-05	LOC399959	1.18E-06
SPRR2F	2.02E-05	MESDC1	1.19E-06
MTTP	2.02E-05	SYCP1	1.20E-06
TBR1	2.03E-05	FCF1	1.20E-06
CSNK1D	2.03E-05	ESRRB	1.20E-06
TCEAL4	2.03E-05	LOC285696	1.21E-06
KRT40	2.04E-05	GSTA1	1.21E-06
CHST6	2.05E-05	HGFAC	1.21E-06
PDZK1P1	2.05E-05	RSAD2	1.21E-06
NBEAL1	2.06E-05	PFAS	1.22E-06
C1orf187	2.06E-05	GPR171	1.22E-06
POU3F3	2.07E-05	KIAA1199	1.22E-06
THAP11	2.07E-05	SPATA21	1.23E-06
PHF13	2.08E-05	RNF166	1.23E-06
MXRA8	2.08E-05	VCAN	1.23E-06
AKT1S1	2.08E-05	IAH1	1.23E-06
LOC100128076	2.10E-05	CNIH	1.24E-06
NXT2	2.10E-05	VPS24	1.24E-06
SLPI	2.10E-05	CNN3	1.24E-06
KRT24	2.11E-05	NPC1L1	1.25E-06
CFC1B	2.11E-05	PFKFB1	1.25E-06
FOXN4	2.11E-05	GAGE2C	1.26E-06
ZNF184	2.12E-05	PALM	1.26E-06
AOAH	2.12E-05	HIST1H2BC	1.26E-06
SI	2.13E-05	NDUFB3	1.26E-06
DGCR6	2.14E-05	TPRG1	1.26E-06
C16orf48	2.14E-05	SCRN1	1.27E-06
RALGDS	2.14E-05	ASAP2	1.27E-06
FAM109B	2.14E-05	PPP2R1A	1.27E-06
DIRC2	2.15E-05	ATP13A1	1.28E-06
TAP1	2.15E-05	NAA30	1.28E-06
ZNF267	2.16E-05	C6orf195	1.29E-06
MEIG1	2.16E-05	PRAC	1.30E-06
CLEC7A	2.16E-05	CLEC18C	1.30E-06
CD19	2.16E-05	LHB	1.31E-06
TCEB3B	2.16E-05	TMC1	1.32E-06
DPF2	2.17E-05	SPINK2	1.32E-06
BAT3	2.17E-05	C15orf38	1.32E-06
ZNF264	2.17E-05	C17orf65	1.33E-06
GNAZ	2.17E-05	TJP3	1.34E-06
RPTN	2.17E-05	PDCD7	1.34E-06
DDC	2.17E-05	ADAM28	1.34E-06
LOC283761	2.17E-05	BRP44	1.34E-06
UNK	2.17E-05	PHOX2B	1.34E-06
PIWIL2	2.17E-05	FNBP1L	1.35E-06
MESTIT1	2.17E-05	ZCCHC7	1.35E-06
WDR17	2.18E-05	ZNF677	1.35E-06
ZNF677	2.19E-05	SIPA1L3	1.35E-06
FDX1	2.19E-05	CSN2	1.36E-06
RGS19	2.19E-05	ADH1C	1.37E-06
C10orf53	2.19E-05	MRC2	1.37E-06
SLC38A1	2.20E-05	STAU2	1.37E-06
GALP	2.20E-05	PTK2B	1.37E-06
NOVA1	2.21E-05	C20orf141	1.37E-06
PSPC1	2.24E-05	RETNLB	1.37E-06
LOC100129066	2.24E-05	NDN	1.37E-06
SNORA76	2.25E-05	RPL24	1.37E-06
TRERF1	2.26E-05	KIAA0430	1.37E-06
GKN1	2.26E-05	LCE2D	1.37E-06
SLC6A18	2.27E-05	OLIG3	1.37E-06
DPCR1	2.27E-05	C2orf69	1.39E-06
PDE9A	2.27E-05	TNFAIP3	1.40E-06
RDH13	2.28E-05	NLGN1	1.40E-06
CPEB1	2.28E-05	IL4R	1.40E-06
BTG4	2.28E-05	D2HGDH	1.41E-06
FBP2	2.29E-05	CACNG4	1.41E-06
GAL3ST1	2.29E-05	LOC388692	1.42E-06
ST8SIA5	2.29E-05	ACLY	1.42E-06
HIST4H4	2.29E-05	SP2	1.42E-06
LAX1	2.29E-05	CD5	1.42E-06
SAV1	2.30E-05	TMEM132B	1.43E-06
WDR45	2.31E-05	RET	1.43E-06
ATP13A3	2.31E-05	BHLHB9	1.44E-06
HMG20B	2.31E-05	POLR3C	1.45E-06
NLRP13	2.32E-05	DTD1	1.46E-06
IL12B	2.32E-05	NGRN	1.46E-06
BET1L	2.32E-05	FOXN3	1.47E-06
CARD18	2.33E-05	PTGER1	1.47E-06
DRG1	2.33E-05	DCK	1.47E-06
TNPO1	2.33E-05	AMPD2	1.47E-06
ANKRD57	2.33E-05	DHX15	1.47E-06
ZNF81	2.33E-05	CRTC1	1.48E-06
TIGD7	2.34E-05	PAQR9	1.48E-06
VOPP1	2.36E-05	TBC1D20	1.48E-06
REEP4	2.36E-05	ZNF670	1.48E-06
FLT3LG	2.36E-05	USP45	1.48E-06
C11orf65	2.38E-05	HSF4	1.49E-06
GPC6	2.39E-05	C19orf60	1.50E-06
LOC255167	2.39E-05	GSTO2	1.51E-06
HIST1H4I	2.40E-05	TOMM40L	1.51E-06
TAF5	2.40E-05	LELP1	1.54E-06
TP53BP1	2.40E-05	MUC13	1.54E-06
HTT	2.41E-05	OVOL2	1.54E-06
PCDHB13	2.41E-05	SDC4P	1.55E-06
LOC100128573	2.42E-05	SMARCA5	1.55E-06
FDPSL2A	2.43E-05	PKDREJ	1.55E-06
C2orf65	2.44E-05	INTS4	1.56E-06
MAN2A2	2.44E-05	ATG2B	1.57E-06
PLIN5	2.44E-05	TAZ	1.57E-06
CRISP1	2.44E-05	LOC388955	1.58E-06
PRLHR	2.44E-05	KIDINS220	1.58E-06
NCRNA00028	2.44E-05	LOC402377	1.60E-06
ACOT12	2.45E-05	EFNB1	1.60E-06
RNASEK	2.45E-05	LCN12	1.61E-06
RDH5	2.46E-05	CUL1	1.61E-06
HTR2C	2.46E-05	MBD2	1.61E-06
CCDC123	2.46E-05	CCNI2	1.62E-06
PDE7B	2.47E-05	ZNF787	1.62E-06
UBE2R2	2.47E-05	SIK3	1.63E-06
CHD4	2.47E-05	EMB	1.63E-06
TAS1R1	2.48E-05	TPMT	1.63E-06
LOC80054	2.48E-05	FLJ40330	1.63E-06
LOC100134868	2.49E-05	LILRA3	1.65E-06
LYSMD2	2.49E-05	PPP3CA	1.65E-06
SLC35A5	2.50E-05	ALS2CR11	1.67E-06
TTR	2.50E-05	TADA2A	1.67E-06
WNT11	2.51E-05	BCL7B	1.67E-06
PRKACG	2.52E-05	MYCNOS	1.68E-06
CCNA1	2.53E-05	RNASE6	1.68E-06
HAO1	2.53E-05	SRGAP3	1.69E-06
LOC400927	2.53E-05	NAGS	1.69E-06
GRIA3	2.53E-05	TMCC2	1.70E-06
SPDYE8P	2.53E-05	SLC22A11	1.70E-06
IQCH	2.55E-05	CDC23	1.71E-06
DEDD	2.55E-05	ZNF251	1.72E-06
UTS2R	2.55E-05	APPL2	1.72E-06
DCAF12L1	2.55E-05	MLF1	1.73E-06
ZNF283	2.55E-05	RIMS3	1.73E-06
ZNRF1	2.55E-05	LAG3	1.74E-06
TOMM22	2.56E-05	LMBR1	1.75E-06
08-Mar	2.58E-05	C10orf137	1.75E-06
PRODH2	2.59E-05	C7orf33	1.75E-06
C1orf190	2.59E-05	C14orf23	1.76E-06
TRMT61A	2.59E-05	ACAT2	1.76E-06
GTF2H3	2.59E-05	C17orf106	1.77E-06
AP3D1	2.59E-05	GRIN3B	1.77E-06
VTN	2.60E-05	C9orf125	1.78E-06
DNAJB14	2.60E-05	CCDC144NL	1.78E-06
LOC400794	2.63E-05	SELL	1.78E-06
CD3EAP	2.63E-05	PHF1	1.80E-06
PPP2R3A	2.64E-05	SUMO4	1.80E-06
ELF3	2.64E-05	CCR6	1.81E-06
BTBD18	2.65E-05	C1orf63	1.82E-06
DPH5	2.66E-05	ZNF578	1.82E-06
KLRC2	2.67E-05	LOC595101	1.82E-06
CHIC1	2.67E-05	IMPDH1	1.83E-06
KLRB1	2.68E-05	PSMA6	1.83E-06
RPS5	2.68E-05	C11orf36	1.83E-06
WDFY4	2.69E-05	SLCO5A1	1.84E-06
ZNF767	2.69E-05	EGF	1.85E-06
C6orf58	2.69E-05	CC2D1A	1.85E-06
ZNF285	2.69E-05	CCDC107	1.86E-06
FBLN7	2.70E-05	RSPH6A	1.86E-06
MDGA2	2.70E-05	GNPAT	1.88E-06
EDDM3A	2.71E-05	ZNF679	1.89E-06
AIFM3	2.73E-05	ZDHHC22	1.89E-06
SLC45A1	2.73E-05	USP19	1.91E-06
HNRNPA1L2	2.74E-05	SLC10A3	1.92E-06
CENPV	2.75E-05	ITFG3	1.92E-06
ZC4H2	2.75E-05	CAB39	1.92E-06
C3orf66	2.76E-05	RAB1A	1.92E-06
RASSF4	2.77E-05	RASD2	1.92E-06
ADORA1	2.77E-05	CHRND	1.93E-06
HSD17B2	2.77E-05	LOC153910	1.93E-06
ATCAY	2.78E-05	SMPX	1.93E-06
C16orf42	2.78E-05	AGPHD1	1.93E-06
WBSCR28	2.80E-05	COMMD5	1.94E-06
TLE3	2.81E-05	DOCK3	1.94E-06
POT1	2.81E-05	CGRRF1	1.95E-06
GRAMD1C	2.81E-05	XKR8	1.96E-06
KRT9	2.82E-05	KLC4	1.97E-06
RASL11A	2.82E-05	ASPHD1	1.97E-06
RFPL1S	2.82E-05	ZNF33A	1.98E-06
OXNAD1	2.82E-05	TRMT2B	1.99E-06
COPE	2.82E-05	C22orf25	1.99E-06
PCDHGA2	2.82E-05	SLC4A7	2.00E-06
WNT7B	2.83E-05	IL2RA	2.00E-06
RFX5	2.83E-05	FAIM	2.01E-06
ARL2BP	2.85E-05	C14orf166B	2.01E-06
C19orf53	2.85E-05	VCX3B	2.01E-06
VPS52	2.85E-05	GNASAS	2.03E-06
FLJ35776	2.85E-05	CDC42SE2	2.04E-06
GYS2	2.87E-05	EIF1B	2.04E-06
PLAC8	2.87E-05	C5orf54	2.05E-06
CLEC3A	2.87E-05	NOM1	2.06E-06
GATM	2.88E-05	DDX24	2.06E-06
PCDHB11	2.89E-05	RPS18	2.06E-06
SOCS5	2.90E-05	ATP4B	2.07E-06
ATP6V1E1	2.90E-05	FKTN	2.07E-06
SERPINF1	2.91E-05	LOC729668	2.07E-06
FLJ44606	2.91E-05	SCN1B	2.08E-06
GDPD3	2.91E-05	ZNF831	2.08E-06
TCERG1L	2.92E-05	CDRT1	2.10E-06
SYTL5	2.93E-05	MT2A	2.11E-06
LZTS2	2.93E-05	SFRS16	2.12E-06
STAT6	2.95E-05	PHOX2A	2.12E-06
TIMM8B	2.95E-05	CCDC140	2.12E-06
PSMD5	2.95E-05	CSNK2A2	2.12E-06
KLHL4	2.96E-05	GPR77	2.12E-06
LOC650623	2.97E-05	AFP	2.14E-06
IYD	2.98E-05	COBRA1	2.15E-06
KIR3DP1	2.98E-05	RPL13AP3	2.15E-06
IGFL4	2.99E-05	KRT40	2.15E-06
ZNF182	2.99E-05	LSP1	2.15E-06
PET112L	3.00E-05	RPL30	2.19E-06
ZNF556	3.01E-05	LRTM2	2.19E-06
CT47B1	3.02E-05	SCARNA17	2.21E-06
DMRT3	3.05E-05	MRPL50	2.21E-06
TARP	3.07E-05	MBD5	2.21E-06
CYP4Z2P	3.07E-05	IL28A	2.22E-06
LHPP	3.07E-05	MPPE1	2.22E-06
MAP2K3	3.07E-05	CTTN	2.24E-06
CTNNA2	3.08E-05	NFE2L1	2.25E-06
SENP6	3.08E-05	ASB3	2.25E-06
NNT	3.08E-05	HIST1H3A	2.25E-06
ESRP2	3.09E-05	SCAMP2	2.26E-06
IK	3.09E-05	SAMD8	2.26E-06
TTLL2	3.10E-05	CSN1S1	2.26E-06
FBXO9	3.10E-05	AQP12B	2.26E-06
ADARB2	3.11E-05	TTC13	2.27E-06
SNX20	3.11E-05	JSRP1	2.27E-06
DNASE2	3.11E-05	SILV	2.27E-06
ZP1	3.12E-05	KIAA1467	2.28E-06
ZNF286A	3.12E-05	BAZ1B	2.28E-06
COMMD4	3.12E-05	SIX5	2.28E-06
NCSTN	3.12E-05	ACCS	2.28E-06
BCL7C	3.13E-05	ANKH	2.28E-06
KIF24	3.14E-05	MOGAT2	2.29E-06
NIPA2	3.15E-05	MUC4	2.29E-06
RHOT1	3.15E-05	CARD11	2.34E-06
IFNG	3.15E-05	TBC1D23	2.34E-06
ZC3H12D	3.16E-05	C1orf56	2.35E-06
FAM18B	3.17E-05	SIRT6	2.36E-06
C14orf178	3.17E-05	OR52B6	2.36E-06
JUB	3.17E-05	VEGFC	2.37E-06
PTPRF	3.17E-05	DAZ3	2.37E-06
PI4KB	3.18E-05	HRNR	2.39E-06
TEX13B	3.18E-05	RBP5	2.42E-06
SPINK5	3.18E-05	DHX8	2.42E-06
KIAA0802	3.19E-05	RNF128	2.43E-06
MYOZ2	3.19E-05	LOC647288	2.44E-06
EPHA5	3.19E-05	ACOT6	2.44E-06
DNAJC21	3.19E-05	BCL2L13	2.45E-06
PTCHD1	3.20E-05	ITGB3	2.48E-06
ARFGAP3	3.20E-05	FAHD2B	2.48E-06
CNIH	3.20E-05	RAF1	2.49E-06
GADD45GIP1	3.20E-05	LOC100128788	2.49E-06
ARHGAP1	3.21E-05	PRNP	2.50E-06
MYO16	3.22E-05	PSMG4	2.50E-06
C10orf99	3.22E-05	SEZ6L	2.51E-06
MED18	3.22E-05	UGT2B15	2.51E-06
LCE3E	3.23E-05	GNL3L	2.52E-06
NAA20	3.23E-05	MEGF6	2.52E-06
C9orf66	3.24E-05	RPL38	2.53E-06
CEBPA	3.24E-05	CACNG2	2.53E-06
FBXO33	3.24E-05	USH1C	2.55E-06
PSMD10	3.25E-05	ZNF41	2.56E-06
PYROXD2	3.26E-05	LMAN2L	2.57E-06
FBN3	3.27E-05	TRIM27	2.58E-06
LRRC8E	3.28E-05	EXOSC7	2.59E-06
SRGAP2	3.28E-05	NEURL2	2.62E-06
UPK1B	3.28E-05	LRTM1	2.63E-06
RELL2	3.28E-05	LCT	2.68E-06
SLC25A41	3.32E-05	IFFO2	2.71E-06
GRB2	3.33E-05	INTS1	2.72E-06
USP8	3.33E-05	IL1R2	2.72E-06
BEST3	3.33E-05	GPR132	2.72E-06
ZFP30	3.34E-05	C20orf165	2.74E-06
GLT1D1	3.34E-05	HRH4	2.74E-06
LIMS1	3.35E-05	GSTT1	2.74E-06
C18orf55	3.35E-05	KIAA1549	2.77E-06
ZNF90	3.36E-05	CXCL10	2.77E-06
FAM58A	3.36E-05	GPR135	2.78E-06
PLEKHF1	3.36E-05	NDUFS5	2.78E-06
CCDC47	3.36E-05	FNDC3B	2.79E-06
LOC100134713	3.38E-05	C7orf36	2.79E-06
SCCPDH	3.38E-05	PHYHIPL	2.80E-06
ZNF76	3.39E-05	VSIG8	2.80E-06
DYRK1A	3.40E-05	CD22	2.80E-06
GPR158	3.40E-05	PDLIM1	2.80E-06
APOBEC3D	3.41E-05	MRS2P2	2.80E-06
ACBD7	3.41E-05	TM7SF3	2.80E-06
ZNF17	3.42E-05	MYLK2	2.83E-06
PSD2	3.42E-05	GABRB2	2.84E-06
C15orf21	3.42E-05	TBC1D10A	2.84E-06
C12orf44	3.43E-05	RFX1	2.85E-06
MSL1	3.44E-05	NRSN2	2.85E-06
TSEN15	3.44E-05	SCGB2A2	2.85E-06
LOC100192426	3.45E-05	INPP5B	2.86E-06
THSD1P1	3.45E-05	CNGA1	2.89E-06
HGSNAT	3.47E-05	INSRR	2.90E-06
PLEKHG3	3.47E-05	KIF26A	2.90E-06
MGC12916	3.49E-05	EPCAM	2.91E-06
CCL19	3.50E-05	STYX	2.92E-06
CDAN1	3.51E-05	TBL3	2.93E-06
ADK	3.53E-05	ATP5D	2.93E-06
UXS1	3.53E-05	SERPINB8	2.95E-06
KLHL18	3.54E-05	NOS3	2.96E-06
ANK2	3.54E-05	ABP1	2.98E-06
HIP1	3.55E-05	MFSD5	2.98E-06
TXNL4B	3.55E-05	RPL6	3.00E-06
ARHGAP15	3.56E-05	AIRE	3.00E-06
IRF4	3.56E-05	DFFA	3.01E-06
USP47	3.57E-05	ALDH16A1	3.02E-06
FAM20B	3.58E-05	MYT1	3.02E-06
LOC642587	3.60E-05	C1RL	3.04E-06
TTTY2	3.61E-05	MTSS1	3.05E-06
CLEC11A	3.64E-05	DPF3	3.06E-06
SHROOM3	3.66E-05	NFIL3	3.06E-06
MORC1	3.67E-05	TRMT61A	3.09E-06
AP3B2	3.67E-05	ABCC13	3.10E-06
PLCB3	3.68E-05	POTEF	3.10E-06
LRFN3	3.68E-05	CCDC76	3.10E-06
NEO1	3.70E-05	KRT71	3.11E-06
KIAA2018	3.71E-05	SCAMP4	3.12E-06
TMCO3	3.72E-05	ORAI1	3.13E-06
WFDC5	3.74E-05	OGDH	3.14E-06
USP3	3.76E-05	SLC10A7	3.14E-06
LOC729678	3.76E-05	NCRNA00183	3.14E-06
CTSF	3.76E-05	DOPEY1	3.14E-06
CARD17	3.76E-05	INSL4	3.16E-06
POLR2K	3.77E-05	PTPN13	3.16E-06
EEF1B2	3.77E-05	CMPK2	3.16E-06
CYTSB	3.77E-05	GTF3C4	3.17E-06
FBXL8	3.77E-05	MIPOL1	3.18E-06
GTF2IRD2B	3.77E-05	MUC7	3.19E-06
FAM22D	3.80E-05	FAM22F	3.20E-06
MAPK12	3.81E-05	ZNF292	3.20E-06
BNC2	3.81E-05	MCCC1	3.21E-06
PRAMEF8	3.82E-05	CYP2E1	3.22E-06
TCEANC	3.82E-05	LOC645431	3.23E-06
MT1X	3.83E-05	PDE12	3.23E-06
KIAA0317	3.83E-05	ANKS4B	3.28E-06
CCDC57	3.84E-05	GUCY1B3	3.32E-06
SDHAF2	3.85E-05	BIRC3	3.33E-06
PHYHIP	3.85E-05	CENPV	3.33E-06
KIF7	3.85E-05	VPS45	3.33E-06
HIRIP3	3.86E-05	SPINK6	3.33E-06
MYOD1	3.88E-05	SFRS12IP1	3.34E-06
KDM2A	3.90E-05	C20orf197	3.34E-06
SETD5	3.91E-05	C4orf45	3.36E-06
TXLNB	3.92E-05	SNX6	3.37E-06
GRM5	3.94E-05	FLNA	3.38E-06
LYRM2	3.95E-05	KIAA2013	3.38E-06
UTP14C	3.96E-05	SLC35D1	3.38E-06
MIOS	3.96E-05	BARHL2	3.39E-06
IFT81	3.96E-05	TMEM144	3.39E-06
CR1	3.97E-05	CHMP1A	3.40E-06
FCER2	3.99E-05	SBF1	3.41E-06
ZFR2	4.00E-05	HABP2	3.43E-06
C1orf70	4.01E-05	TCF15	3.44E-06
TMEM167B	4.03E-05	C13orf31	3.45E-06
NCRNA00189	4.04E-05	HIP1R	3.48E-06
RAD52	4.05E-05	STRN	3.48E-06
SCT	4.07E-05	FAM186B	3.49E-06
CRIP1	4.07E-05	HNRNPUL1	3.49E-06
TMEM43	4.07E-05	LOC100134259	3.50E-06
CBLN3	4.07E-05	COLEC10	3.50E-06
IQGAP2	4.08E-05	SPRYD3	3.51E-06
VMA21	4.10E-05	CECR4	3.52E-06
LYG2	4.12E-05	KIF21B	3.53E-06
FASTKD2	4.13E-05	WSCD2	3.54E-06
GAL3ST3	4.13E-05	RPS21	3.55E-06
TGS1	4.14E-05	CCDC152	3.55E-06
F13B	4.15E-05	NEIL1	3.58E-06
C6orf217	4.15E-05	ATRX	3.59E-06
BSCL2	4.15E-05	C9orf85	3.61E-06
ADAMTSL1	4.16E-05	PLIN3	3.62E-06
C11orf93	4.18E-05	YIPF6	3.64E-06
HIST1H4D	4.18E-05	CCR8	3.64E-06
RAD51AP2	4.19E-05	TMEM98	3.64E-06
LOC100144604	4.20E-05	KCNS2	3.64E-06
TTC39A	4.20E-05	INF2	3.67E-06
GRIK3	4.21E-05	IMMP1L	3.67E-06
OPN4	4.22E-05	CXorf56	3.68E-06
CELF4	4.22E-05	NIPA2	3.68E-06
DPM3	4.23E-05	SLC25A32	3.69E-06
ELP4	4.24E-05	C17orf69	3.71E-06
SLFN14	4.25E-05	PBX3	3.71E-06
NPHP3	4.26E-05	ZNF517	3.71E-06
LOC100130776	4.29E-05	PRSS1	3.73E-06
UGT2B4	4.30E-05	CPSF3L	3.73E-06
AGXT2	4.32E-05	HAS2	3.75E-06
KIR2DL4	4.34E-05	SLC41A2	3.77E-06
CD247	4.34E-05	FLJ35390	3.77E-06
KIAA1530	4.34E-05	SPIRE1	3.79E-06
NAF1	4.34E-05	MOBKL2C	3.81E-06
HLA-DQA2	4.36E-05	CA7	3.81E-06
DFNB59	4.40E-05	MRGPRX1	3.82E-06
NDUFA8	4.41E-05	HMP19	3.84E-06
ZNF189	4.41E-05	RORB	3.84E-06
SLC7A5P1	4.41E-05	AMMECR1L	3.85E-06
TLR5	4.44E-05	PNMA6A	3.85E-06
CXCL10	4.44E-05	TTC14	3.86E-06
SLC35A4	4.44E-05	LOC100130015	3.88E-06
TJP3	4.44E-05	CYB5D1	3.88E-06
DISP2	4.45E-05	DNAJB13	3.90E-06
KRTDAP	4.49E-05	DERL1	3.91E-06
RHBDL3	4.50E-05	PDE3A	3.92E-06
NEFM	4.50E-05	NCAM2	3.93E-06
WDFY3	4.50E-05	NECAB3	3.93E-06
KYNU	4.52E-05	ZRSR2	3.94E-06
GRIA4	4.52E-05	C21orf81	3.96E-06
HSD17B12	4.53E-05	PPP2R5B	3.97E-06
AIRE	4.55E-05	RPRD1A	3.97E-06
EML6	4.61E-05	KRTAP1-1	3.98E-06
SETD4	4.61E-05	DCLK2	3.98E-06
CARD10	4.62E-05	OR6N1	3.99E-06
KIF9	4.63E-05	TMEM161B	4.03E-06
HMGB3L1	4.63E-05	CLEC4G	4.06E-06
MAPRE3	4.64E-05	RAB34	4.08E-06
GLIS2	4.65E-05	ANAPC16	4.10E-06
LMBR1	4.66E-05	FAM13AOS	4.13E-06
LYST	4.67E-05	SDCCAG8	4.13E-06
LY6G6D	4.69E-05	HSF5	4.13E-06
BEND7	4.69E-05	TMEM131	4.17E-06
TLX1NB	4.69E-05	FAM18A	4.17E-06
NWD1	4.69E-05	FOXO3	4.18E-06
